countryCode,countryName,year,electricityAccess,region
VNM,Vietnam,2020,99.8,East Asia & Pacific
VIR,Virgin Islands (U.S.),2020,100.0,North America
EGY,"Egypt, Arab Rep.",2013,99.9,Middle East & North Africa
BGD,Bangladesh,2009,57.1,South Asia
UGA,Uganda,2001,8.6,Sub-Saharan Africa
UKR,Ukraine,2001,99.2,Europe & Central Asia
ARE,United Arab Emirates,2001,100.0,Middle East & North Africa
GBR,United Kingdom,2001,100.0,Europe & Central Asia
USA,United States,2001,100.0,North America
MAR,Morocco,2020,100.0,Middle East & North Africa
NPL,Nepal,2020,89.9,South Asia
NLD,Netherlands,2020,100.0,Europe & Central Asia
TZA,Tanzania,2018,34.9,Sub-Saharan Africa
THA,Thailand,2018,99.8,East Asia & Pacific
UGA,Uganda,2018,41.9,Sub-Saharan Africa
ARG,Argentina,2006,97.0,Latin America & Caribbean
AUS,Australia,2006,100.0,East Asia & Pacific
BGD,Bangladesh,2006,50.5,South Asia
JPN,Japan,2008,100.0,East Asia & Pacific
KEN,Kenya,2008,30.3,Sub-Saharan Africa
KOR,"Korea, Rep.",2008,100.0,East Asia & Pacific
BRA,Brazil,2009,98.9,Latin America & Caribbean
CAN,Canada,2009,100.0,North America
SAU,Saudi Arabia,2018,99.9,Middle East & North Africa
ZAF,South Africa,2018,84.7,Sub-Saharan Africa
CHN,China,2021,100.0,East Asia & Pacific
COL,Colombia,2021,100.0,Latin America & Caribbean
ARG,Argentina,2018,100.0,Latin America & Caribbean
AUS,Australia,2018,100.0,East Asia & Pacific
DEU,Germany,2017,100.0,Europe & Central Asia
GHA,Ghana,2017,79.0,Sub-Saharan Africa
AUS,Australia,2020,100.0,East Asia & Pacific
BGD,Bangladesh,2020,96.2,South Asia
MYS,Malaysia,2012,99.8,East Asia & Pacific
MEX,Mexico,2012,99.1,Latin America & Caribbean
THA,Thailand,2012,99.1,East Asia & Pacific
UGA,Uganda,2012,20.5,Sub-Saharan Africa
UKR,Ukraine,2012,99.9,Europe & Central Asia
PHL,Philippines,2012,87.1,East Asia & Pacific
POL,Poland,2012,100.0,Europe & Central Asia
SAU,Saudi Arabia,2012,100.0,Middle East & North Africa
BRA,Brazil,2019,99.8,Latin America & Caribbean
CAN,Canada,2019,100.0,North America
NPL,Nepal,2004,37.2,South Asia
NLD,Netherlands,2004,100.0,Europe & Central Asia
NZL,New Zealand,2004,100.0,East Asia & Pacific
NGA,Nigeria,2004,46.1,Sub-Saharan Africa
NOR,Norway,2004,100.0,Europe & Central Asia
SWE,Sweden,2013,100.0,Europe & Central Asia
TZA,Tanzania,2013,16.4,Sub-Saharan Africa
THA,Thailand,2013,99.4,East Asia & Pacific
BGD,Bangladesh,2012,65.5,South Asia
PAK,Pakistan,2009,82.5,South Asia
PER,Peru,2009,86.4,Latin America & Caribbean
PHL,Philippines,2009,84.3,East Asia & Pacific
POL,Poland,2009,100.0,Europe & Central Asia
CAN,Canada,2003,100.0,North America
CHL,Chile,2003,98.8,Latin America & Caribbean
CHN,China,2003,97.4,East Asia & Pacific
COL,Colombia,2003,95.1,Latin America & Caribbean
TZA,Tanzania,2004,11.4,Sub-Saharan Africa
THA,Thailand,2004,92.2,East Asia & Pacific
UGA,Uganda,2004,11.6,Sub-Saharan Africa
UKR,Ukraine,2004,99.4,Europe & Central Asia
EGY,"Egypt, Arab Rep.",2020,100.0,Middle East & North Africa
